# 1      Please keep this file sorted alphabetically (ascending) and clear of duplicates
# 2      In VS Code you can do this with:
# 3      ctrl+shift+p > Delete Duplicate Lines
# 4      ctrl+shift+p > Sort Lines Ascending
# 5
# 6      Format:
# 7      manifest | source code
https://raw.githubusercontent.com/builtbyproxy/jellyfin-plugin-letterboxd/main/manifest.json | https://github.com/builtbyproxy/jellyfin-plugin-letterboxd
https://raw.githubusercontent.com/caleb-venner/jellypy/main/manifest.json | https://github.com/caleb-venner/JellyPy
https://raw.githubusercontent.com/calibrae/jellyfin-anemone/main/manifest.json | https://github.com/calibrae/jellyfin-anemone
https://raw.githubusercontent.com/CapstonPeters/Jellyfin-Hide-Empty-Folders/HEAD/manifest.json | https://github.com/CapstonPeters/Jellyfin-Hide-Empty-Folders
https://raw.githubusercontent.com/CatNoir2006/jellyfin-plugin-manifest/main/manifest.json | https://github.com/CatNoir2006/jellyfin-plugin-MediathekViewDL
https://raw.githubusercontent.com/cedev-1/Jellyfin-Plugin-DiscordNotifier/master/manifest.json | https://github.com/cedev-1/Jellyfin-Plugin-DiscordNotifier
https://raw.githubusercontent.com/cedev-1/Jellyfin-Plugin-GetAvatar/master/manifest.json | https://github.com/cedev-1/Jellyfin-Plugin-GetAvatar
https://raw.githubusercontent.com/cedev-1/Jellyfin-Plugin-KickUser/master/manifest.json | https://github.com/cedev-1/Jellyfin-Plugin-KickUser
https://raw.githubusercontent.com/charlesbel/Jellyfin.Plugin.Allocine/master/manifest.json | https://github.com/charlesbel/Jellyfin.Plugin.Allocine
https://raw.githubusercontent.com/CherryFloors/jellyfin-plugin-cinemamode/main/manifest.json | https://github.com/CherryFloors/jellyfin-plugin-cinemamode
https://raw.githubusercontent.com/chrissix666/Jellyfin-Cinema-Project/main/manifest.json | https://github.com/chrissix666/Jellyfin-Cinema-Project
https://raw.githubusercontent.com/chrissix666/Jellyfin-VideoOSD-Tweaks-Candy/main/manifest.json | https://github.com/chrissix666/Jellyfin-VideoOSD-Tweaks-Candy
https://raw.githubusercontent.com/cleverdevil/plexyfin/main/metadata/stable/manifest.json | https://github.com/cleverdevil/plexyfin
https://raw.githubusercontent.com/cocomeros/Jellyfin.Plugin.ActorsIndex/main/manifest.json | https://github.com/cocomeros/Jellyfin.Plugin.ActorsIndex
https://raw.githubusercontent.com/CodeDevMLH/jellyfin-plugin-manifest/refs/heads/main/manifest.json | https://github.com/CodeDevMLH/jellyfin-plugin-manifest
https://raw.githubusercontent.com/crackruckles/MediaDash/main/manifest.json | https://github.com/crackruckles/MediaDash
https://raw.githubusercontent.com/Cyprien-png/jellyfin-binge-buddy/HEAD/manifest.json | https://github.com/Cyprien-png/jellyfin-binge-buddy
https://raw.githubusercontent.com/danieladov/JellyfinPluginManifest/master/manifest.json | https://github.com/danieladov/JellyfinPluginManifest
https://raw.githubusercontent.com/danielfariati/jellyfin-plugin-lastfm/refs/heads/master/manifest.json | https://github.com/danielfariati/jellyfin-plugin-lastfm
https://raw.githubusercontent.com/DeDuplicate/Jellyfin_wizdomsubs_downloader/refs/heads/main/manifest.json | https://github.com/DeDuplicate/Jellyfin_wizdomsubs_downloader
https://raw.githubusercontent.com/denisgabriel5/jellyfin-plugin-forcetranscoding/master/manifest.json | https://github.com/denisgabriel5/jellyfin-plugin-forcetranscoding
https://raw.githubusercontent.com/DirtyRacer1337/Jellyfin.Plugin.Stash/main/manifest.json | https://github.com/DirtyRacer1337/Jellyfin.Plugin.Stash
https://raw.githubusercontent.com/Druidblack/Jellyfin.Plugin.ActorPlus/main/manifest.json | https://github.com/Druidblack/Jellyfin.Plugin.ActorPlus
https://raw.githubusercontent.com/Druidblack/Jellyfin.Plugin.ArtworkMultiSource/main/manifest.json | https://github.com/Druidblack/Jellyfin.Plugin.ArtworkMultiSource
https://raw.githubusercontent.com/Druidblack/Jellyfin.Plugin.MDBList_Ratings/main/manifest.json | https://github.com/Druidblack/Jellyfin.Plugin.MDBList_Ratings
https://raw.githubusercontent.com/Eeeeelias/playlist-generator/refs/heads/main/manifest.json | https://github.com/Eeeeelias/playlist-generator
https://raw.githubusercontent.com/enoch85/bazarr-jellyfin/main/manifest.json | https://github.com/enoch85/bazarr-jellyfin
https://raw.githubusercontent.com/EusthEnoptEron/jellyfin-plugin-animethemes/main/manifest.json | https://github.com/EusthEnoptEron/jellyfin-plugin-animethemes
https://raw.githubusercontent.com/fdett/jellyfin-ignore/master/manifest.json | https://github.com/fdett/jellyfin-ignore
https://raw.githubusercontent.com/Felitendo/jellyfin-plugin-lyrics/master/manifest.json | https://github.com/Felitendo/jellyfin-plugin-lyrics
https://raw.githubusercontent.com/felixfoertsch/jellyfin-sponsorblock/main/manifest.json | https://github.com/felixfoertsch/jellyfin-sponsorblock
https://raw.githubusercontent.com/FizzyMUC/jellyfin-oscars-plugin/main/manifest.json | https://github.com/FizzyMUC/jellyfin-oscars-plugin
https://raw.githubusercontent.com/Fovty/HoverTrailer/master/manifest.json | https://github.com/Fovty/HoverTrailer
https://raw.githubusercontent.com/foxtrotdev/jellyfin-plugin-audio-flags/main/manifest.json | https://github.com/foxtrotdev/jellyfin-plugin-audio-flags
https://raw.githubusercontent.com/Franciskid/jellyfin-plugin-ai-search/HEAD/manifest.json | https://github.com/Franciskid/jellyfin-plugin-ai-search
https://raw.githubusercontent.com/Franciskid/jellyfin-plugin-sharelinks/main/manifest.json | https://github.com/Franciskid/jellyfin-plugin-sharelinks
https://raw.githubusercontent.com/fscorrupt/posterizarr/main/manifest.json | https://github.com/fscorrupt/posterizarr
https://raw.githubusercontent.com/G-grbz/Jellyfin-MonWUI-Plugin/main/manifest.json | https://github.com/G-grbz/Jellyfin-MonWUI-Plugin
https://raw.githubusercontent.com/GrandguyJS/media-upload-plugin/main/manifest.json | https://github.com/GrandguyJS/media-upload-plugin
https://raw.githubusercontent.com/HarshLabs/jellyfin-plugin-native-trickplay/main/manifest.json | https://github.com/HarshLabs/jellyfin-plugin-native-trickplay
https://raw.githubusercontent.com/hexxone/TeleJelly/dist/manifest.json | https://github.com/hexxone/TeleJelly
